id;full_name;birth_date;phone
1;Multi-channelled Licensed;2019-10-01;359.540.8661
2;Small Frozen Sausages Planner;2019-09-30;300.262.4616
3;backing up Salad;2019-10-01;(167) 345-2551
4;Facilitator;2019-09-30;938-957-9305 x150
5;software scale interactive;2019-09-30;392.652.1281 x009
6;index orange;2019-10-01;817-777-7609
7;deposit Internal;2019-09-30;430-033-6367 x5628
8;Junction Frozen;2019-09-30;775-272-4057 x41041
9;Outdoors;2019-10-01;(355) 691-2645 x722
10;Generic neutral Salad;2019-09-30;826-184-8214 x8853
